STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1486;Công Ty Cổ Phần Bất động sản và Đầu tư VRC;3500101523;HOSE;VRC
1487;CTCP Vincom Retail;0105850244;HOSE;VRE
1488;CTCP Phát triển đô thị và KCN cao su Việt Nam (Vinaruco);0800300443;UPCOM;VRG
1489;CTCP Đại lý hàng hải Việt Nam;0300437898;HNX;VSA
1490;CTCP Container Việt Nam;0200453688;HOSE;VSC
1491;CTCP Dịch vụ Đường cao tốc Việt Nam;0102680481;UPCOM;VSE
1492;Tổng công ty Lương thực Miền Nam - CTCP;0300613198;UPCOM;VSF
1493;Công ty Cổ Phần Container Phía Nam;0301872364;UPCOM;VSG
1494;CTCP Thủy điện Vĩnh Sơn-Sông Hinh;4100562786;HOSE;VSH
1495;CTCP Đầu tư và Xây dựng Cấp thoát nước;0300393538;HOSE;VSI
1496;CTCP Container miền Trung;0400424349;HNX;VSM
1497;CTCP Việt Nam Kỹ nghệ Súc sản;0300105356;UPCOM;VSN
1498;CTCP Vận tải và Thuê tàu biển Việt Nam;0300448709;UPCOM;VST
1499;CTCP VITALY;0300398078;UPCOM;VTA
